FID,Shape *,ID,Functional,Treatmentb,PavementCl,STREETNAME,PlanActivi,From1,BeginningS,EndingStat,PavementWi,Length,To1,NPR,OCI,ExtendedCo,Route_ID
550,Polyline M,995,RT - Residential Local,PM,BC - Bituminous Concrete,CHETWYND RD,(PM) Pavement Patching,CURTIS ST,0,933,26.5,933,WEST ADAMS ST,58.98,61.68,51042.42,995
551,Polyline M,994,RT - Residential Local,PM,BC - Bituminous Concrete,BAILEY ST,(PM) Pavement Patching,WEST ADAMS ST,0,466,26.5,466,NORTH ST,58.66,60.64,25493.8,994
552,Polyline M,993,RT - Residential Local,PM,BC - Bituminous Concrete,BURNHAM ST,(PM) Pavement Patching,BROADWAY,0,625,26,625,POWDER HOUSE BLVD,58.02,58.56,33547.3,993
553,Polyline M,992,RT - Residential Local,RM,BC - Bituminous Concrete,DOW ST,(RM) Crack Seal,POWDER HOUSE BLVD,0,324,26.5,324,WARE ST,63.93,77.76,1726.74,992
554,Polyline M,991,RT - Residential Local,RM,BC - Bituminous Concrete,JAY ST,(RM) Crack Seal,HOLLAND ST,0,579,26.5,579,HOWARD ST,64.63,80.05,3085.74,991
555,Polyline M,990,RT - Residential Local,PM,BC - Bituminous Concrete,CORINTHIAN RD,(PM) Pavement Patching,BROADWAY,0,609,26.5,609,CADY AVE,60.79,67.58,33317.1,990
556,Polyline M,989,RT - Residential Local,PM,BC - Bituminous Concrete,MALVERN AVE,(PM) Pavement Patching,CAMERON AVE,0,462,26.5,462,YORKTOWN ST,60.41,66.32,25274.93,989
557,Polyline M,988,RT - Residential Local,SI,BC - Bituminous Concrete,BROMFIELD RD,"(SI) 2"" Mill & Overlay Local w/ramps",WARNER ST,0,1316,26.5,1316,DEARBORN RD,51.45,37.2,298792.77,988
558,Polyline M,987,RT - Residential Local,PM,BC - Bituminous Concrete,HENRY AVE,(PM) Pavement Patching,HIGHLAND AVE,0,347,26.5,347,LEXINGTON AVE,60.83,67.7,18983.56,987
559,Polyline M,986,RT - Residential Local,RM,BC - Bituminous Concrete,NORFOLK ST,(RM) Crack Seal,CAMBRIDGE TOWNLINE,0,324,27,324,WEBSTER AV,62.54,73.25,1759.32,986
560,Polyline M,985,RT - Residential Local,DN,BC - Bituminous Concrete,NEW RD,Do Nothing,MIDDLESEX AVE,0,680,48,680,ASSEMBLY SQUARE DR,65.54,97.99,0,985
561,Polyline M,984,RT - Residential Local,DN,BC - Bituminous Concrete,MURDOCK ST,Do Nothing,CEDAR ST,0,889,24,885,CLYDE ST,62.76,88.96,0,984
562,Polyline M,983,RT - Residential Local,DN,BC - Bituminous Concrete,FELLSWAY WEST,Do Nothing,BROADWAY,0,1447,34,1447,MYSTIC AVE,66.15,100,0,983
563,Polyline M,982.1,RT - Residential Local,RM,BC - Bituminous Concrete,SHORE DR,(RM) Crack Seal,CREST HILL RD,1164,2698,26,1535,FELLSWAY WEST,57.41,71.57,8026.34,982
564,Polyline M,982,RT - Residential Local,SI,BC - Bituminous Concrete,SHORE DR,"(SI) 2"" Mill & Overlay Local w/ramps",MYSTIC AVE,0,1164,26,1164,CREST HILL RD,46.94,37.55,259295.48,982
565,Polyline M,98.1,CO - Collector,RM,BC - Bituminous Concrete,CENTRAL ST,(RM) Crack Seal,SUMMER ST,1080,4882,26.5,3802,BROADWAY (E),78.78,88.52,20262.55,98
566,Polyline M,98,CO - Collector,DN,BC - Bituminous Concrete,CENTRAL ST,Do Nothing,SOMERVILLE AVE,0,1080,21.5,1080,SUMMER ST,81.18,96.34,0,98
567,Polyline M,96.2,CO - Collector,RM,BC - Bituminous Concrete,CEDAR ST,(RM) Crack Seal,MURDOCK ST,3564,4337,26.5,773,BROADWAY (E),78.18,81.6,4119.67,96
568,Polyline M,96.1,CO - Collector,SI,BC - Bituminous Concrete,CEDAR ST,"(SI) 3"" Mill & Overlay Art/Col w/ramps",HIGHLAND AVE,1751,3564,26.5,1813,MURDOCK ST,64.49,37.08,488292.47,96
569,Polyline M,96,CO - Collector,PM,BC - Bituminous Concrete,CEDAR ST,(PM) Pavement Patching,ELM ST,0,1751,26.5,1751,HIGHLAND AVE,70.61,56.97,95793.28,96
570,Polyline M,95,RT - Residential Local,PM,BC - Bituminous Concrete,CEDAR AVE,(PM) Pavement Patching,CEDAR ST,0,330,14.5,330,LINDEN AVE,54.52,47.2,9878.43,95
571,Polyline M,93,RE - Residential Dead End,DN,BC - Bituminous Concrete,CARTER TERR,Do Nothing,SUMMER ST,0,189,26.5,189,DEAD END,57.68,99.97,0,93
572,Polyline M,92,RT - Residential Local,DN,BC - Bituminous Concrete,CARLTON ST,Do Nothing,SOMERVILLE AVE,0,348,26.5,348,LAKE ST,67.66,89.88,0,92
